Date,Open,High,Low,Close,Volume,Turnover
2022-01-20,20.658,20.658,20.258,20.508,2147219,48662721.000
2022-01-23,20.208,20.358,19.658,20.208,4276327,95530932.000
2022-01-24,20.008,20.358,19.358,19.658,3992658,87746489.000
2022-01-25,19.658,19.958,19.058,19.358,4407040,95229627.000
2022-01-26,19.308,19.308,18.458,18.658,3454400,72061537.000
2022-01-27,18.658,18.858,18.108,18.508,3433560,70947959.000
2022-01-30,18.958,19.158,18.258,18.708,2692540,56267489.000
2022-02-03,19.558,19.558,18.658,19.208,2550154,54710415.000
2022-02-06,19.408,19.458,18.108,18.408,12534640,259762478.000
2022-02-07,18.408,18.508,17.558,17.958,8189969,165649151.000
2022-02-08,18.058,19.108,18.058,18.708,5278314,110351358.000
2022-02-09,18.908,19.108,18.558,18.708,4361068,91760114.000
2022-02-10,18.558,18.708,17.908,18.158,6792046,138563583.000
2022-02-13,18.058,18.158,17.698,17.808,3697579,74186994.000
2022-02-14,17.808,17.908,17.558,17.598,3437416,68487688.000
2022-02-15,17.858,18.058,17.698,17.958,4264135,85927593.000
2022-02-16,18.008,18.008,17.658,17.958,3344864,67014267.000
2022-02-17,17.808,17.958,17.638,17.718,3108800,62326770.000
2022-02-20,17.678,18.558,17.678,18.558,6171474,126922584.000
2022-02-21,18.158,18.208,17.478,17.858,6137400,122749418.000
2022-02-22,17.678,18.158,17.678,18.008,3540173,71517191.000
2022-02-23,17.758,18.008,17.078,17.358,6952063,136393976.000
2022-02-24,17.398,17.618,17.258,17.398,2757622,54288247.000
2022-02-27,17.318,17.398,16.878,16.958,4588451,88103735.000
2022-02-28,16.938,17.118,16.778,16.798,3907477,74752963.000
2022-03-01,16.718,16.738,16.038,16.158,8828200,163427064.000
2022-03-02,16.038,16.358,15.878,15.978,4027520,73952903.000
2022-03-03,15.758,15.918,15.258,15.438,7997801,142044450.000
2022-03-06,14.578,14.838,13.558,13.678,17734341,287970839.000
2022-03-07,13.678,13.838,12.858,13.038,8987046,139057645.000
2022-03-08,13.418,13.558,12.718,13.418,10649485,164004877.000
2022-03-09,13.818,14.078,13.498,13.738,7009298,112256554.000
2022-03-10,13.378,13.538,12.758,13.238,6369588,97644825.000
2022-03-13,13.078,13.138,11.998,12.158,8394000,124330843.000
2022-03-14,11.638,12.318,10.458,10.638,14006275,189716789.000
2022-03-15,11.118,12.458,11.058,12.358,12478920,174633480.000
2022-03-16,13.298,13.558,12.598,13.198,11200818,170583520.000
2022-03-17,12.958,13.358,12.678,13.178,5234536,80110590.000
2022-03-20,13.758,13.858,12.578,12.758,6948845,105971205.000
2022-03-21,12.858,13.318,12.778,13.318,4149736,63504506.000
2022-03-22,20.758,22.658,16.838,16.918,57695925,1167073836.000
2022-03-23,17.058,17.058,15.098,15.158,33299657,601631385.000
2022-03-24,15.158,15.218,14.298,14.398,18373745,312612628.000
