Date,Open,High,Low,Close,Volume,Turnover
2022-01-20,38.797,39.816,38.751,39.445,14433095,601014059.000
2022-01-23,40.232,40.279,39.075,39.908,10574091,443658916.000
2022-01-24,39.862,40.186,39.260,39.769,5906546,248486093.000
2022-01-25,40.464,40.556,39.399,39.769,5461241,230660402.000
2022-01-26,40.047,40.279,38.797,39.492,7222435,302559594.000
2022-01-27,39.538,40.649,39.121,39.538,5501001,230624739.000
2022-01-30,39.769,40.927,39.260,40.788,8057922,344779525.000
2022-02-03,41.066,41.436,40.418,41.251,4801716,208074269.000
2022-02-06,41.112,41.529,40.140,40.325,6942644,297573511.000
2022-02-07,40.556,41.714,39.399,39.955,6636624,279595803.000
2022-02-08,41.621,41.621,39.769,40.279,3931574,168004533.000
2022-02-09,41.390,41.390,40.325,40.880,6625174,285477361.000
2022-02-10,41.436,41.945,41.204,41.482,9681790,424301932.000
2022-02-13,41.251,41.251,39.584,40.001,5262562,222160519.000
2022-02-14,39.955,39.955,38.659,39.029,10708104,444043432.000
2022-02-15,39.168,39.955,39.029,39.631,4529592,189790922.000
2022-02-16,40.325,40.603,38.890,39.307,6220384,258725082.000
2022-02-17,38.705,40.094,38.427,39.584,8667157,361086145.000
2022-02-20,39.723,39.955,37.918,39.307,7482330,306422724.000
2022-02-21,38.890,39.445,38.473,39.075,4461943,183666042.000
2022-02-22,40.418,40.418,38.797,38.936,3013239,124577513.000
2022-02-23,38.844,38.936,37.224,37.362,9818892,391330153.000
2022-02-24,36.992,37.686,35.881,36.251,14089552,542830860.000
2022-02-27,36.900,36.900,35.650,36.437,7174571,275812770.000
2022-02-28,36.714,36.946,35.603,36.113,4607487,176462910.000
2022-03-01,35.696,36.298,34.724,35.094,7695860,287684434.000
2022-03-02,35.094,35.974,35.002,35.511,6599930,249549993.000
2022-03-03,35.418,35.418,34.076,35.002,7789816,289881052.000
2022-03-06,33.891,34.816,33.520,34.492,8016285,293192537.000
2022-03-07,36.298,36.344,33.844,34.400,10396843,384082495.000
2022-03-08,34.400,35.094,33.011,33.613,9032536,324923118.000
2022-03-09,33.567,33.891,32.965,33.567,6163474,219478822.000
2022-03-10,33.567,33.567,32.085,33.011,7009998,245412311.000
2022-03-13,33.011,33.011,28.382,28.706,22813291,723272213.000
2022-03-14,28.567,28.567,23.244,23.938,31640341,873454441.000
2022-03-15,25.975,29.123,24.170,28.984,36659643,1061837155.000
2022-03-16,33.659,34.863,32.919,33.428,38895882,1387237500.000
2022-03-17,33.335,34.122,31.160,33.613,15968769,567408209.000
2022-03-20,34.215,34.261,31.669,32.409,10690000,370170716.000
2022-03-21,32.733,33.659,31.900,33.613,6943914,246184942.000
2022-03-22,32.965,35.002,32.965,34.400,10661640,390016520.000
2022-03-23,34.400,34.678,33.150,33.474,7933387,283846906.000
2022-03-24,31.993,34.307,31.993,33.752,9521387,338520082.000
2022-03-27,33.613,33.613,32.224,33.428,5986857,211295065.000
2022-03-28,32.085,33.335,31.993,32.733,5418474,189176086.000
2022-03-29,32.919,34.585,32.548,34.122,13392316,484948357.000
2022-03-30,34.122,35.696,34.122,35.048,10847792,404099536.000
2022-03-31,35.650,35.696,34.585,35.650,9155461,345096867.000
2022-04-03,35.927,37.640,35.927,37.362,10106953,399069730.000
2022-04-05,35.881,38.010,35.881,37.501,9369703,372755421.000
2022-04-06,37.779,38.057,36.575,37.362,6312025,249899747.000
2022-04-07,37.362,37.918,36.113,37.686,7625995,300484331.000
2022-04-10,37.316,37.316,35.881,36.622,4724813,183082044.000
2022-04-11,37.779,37.779,35.696,36.390,5394878,208029794.000
2022-04-12,36.390,37.085,35.742,36.807,3925016,152511785.000
2022-04-13,36.992,37.779,36.437,37.270,4393282,173245375.000
2022-04-18,37.224,37.224,35.974,36.668,3591904,139247731.000
2022-04-19,36.251,36.853,35.279,35.511,5713560,216420761.000
2022-04-20,35.511,35.511,34.307,34.770,6542121,242356651.000
2022-04-21,34.539,35.372,33.567,34.724,4673506,172640823.000
2022-04-24,34.539,34.539,33.520,33.752,12590881,455979905.000
2022-04-25,33.844,34.585,32.919,33.150,7197323,256702071.000
2022-04-26,33.150,33.381,32.178,33.011,8116561,284921737.000
2022-04-27,32.039,33.798,32.039,33.196,8302026,292644098.000
2022-04-28,33.196,34.215,32.132,33.844,7128226,253985071.000
2022-05-02,33.104,35.326,33.057,34.955,10461882,388071229.000
2022-05-03,34.122,34.816,34.076,34.724,3964030,145841302.000
2022-05-04,34.492,35.511,33.983,34.354,4485295,165709020.000
2022-05-05,34.261,34.261,31.808,32.363,10777186,372500629.000
2022-05-09,31.391,32.085,30.604,31.761,7423701,249552291.000
2022-05-10,31.761,31.854,30.697,31.113,7523338,252518827.000
2022-05-11,31.113,31.160,29.863,29.956,9187157,299965021.000
2022-05-12,30.187,31.669,29.910,31.298,9184983,305600312.000
2022-05-15,32.224,33.381,31.530,32.919,11606694,405813181.000
2022-05-16,32.919,33.659,32.271,33.335,6493373,229738344.000
2022-05-17,33.335,34.446,33.057,34.122,6420495,232474566.000
2022-05-18,34.122,34.631,33.150,34.261,4897864,178353462.000
2022-05-19,35.233,35.326,34.168,34.631,6101653,225761097.000
2022-05-22,34.261,34.631,33.474,34.076,3821887,138589742.000
2022-05-23,34.446,34.539,33.335,33.752,3053335,110222675.000
2022-05-24,33.891,34.168,33.428,33.752,4659708,167865415.000
2022-05-25,34.261,34.261,33.011,33.567,2942762,105191047.000
2022-05-26,34.168,34.492,32.872,33.520,5079346,181204744.000
2022-05-29,33.520,33.798,32.919,33.057,6147782,217749408.000
2022-05-30,33.057,34.168,32.919,33.983,13089492,472387177.000
2022-05-31,34.770,34.770,33.289,33.983,3011801,108848581.000
2022-06-01,33.104,33.474,31.808,32.456,6293743,217753288.000
2022-06-05,32.548,32.733,30.234,31.946,8242877,276390260.000
2022-06-06,31.160,31.715,30.836,31.298,11842324,396409578.000
2022-06-07,31.437,31.484,30.558,30.882,10538592,349281809.000
2022-06-08,30.604,31.993,30.187,31.530,8928244,301174297.000
2022-06-09,30.882,31.345,28.614,28.614,19040955,600225710.000
2022-06-12,28.104,28.104,26.993,27.271,12975852,384948427.000
2022-06-13,27.317,27.873,26.993,27.780,8822702,262453336.000
2022-06-14,27.410,28.660,27.179,28.382,10810876,328963930.000
2022-06-15,28.614,28.614,27.225,27.503,4914074,148005695.000
2022-06-16,27.827,27.827,27.086,27.271,8417152,249261772.000
2022-06-19,27.086,29.123,27.086,29.030,16750618,519528771.000
2022-06-20,29.262,29.586,28.845,29.262,5646075,177837949.000
2022-06-21,29.030,29.354,28.151,28.290,6209715,191269877.000
2022-06-22,28.706,29.678,28.058,29.632,8079092,254753176.000
